SKU,Farads,Farads Unit,Voltage,Tolerance,Manufacturer,Size,Mounting Style,Price,Link,Category
A-7079,0.1,μF,400V,10%,FARATRONIC,Radial,th,0.13,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/0-1uf-400v-10-polyester-film-box-type-capacitor-faratronic.html,Polyester (Mylar) Capacitors
A-4398,0.1,μF,630V,10%,AEC,Radial,th,0.27,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/0-1uf-100nf-630v-10-metallized-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-4350,120.0,nF,100V,5%,ARCOTRONICS,Radial,th,0.19,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/0-12uf-100v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-2912,150.0,nF,100V,5%,ARCOTRONICS,Radial,th,0.12,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/c-150nf-0-0015uf-100v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-708,180.0,nF,100V,5%,FARATRONIC,Radial,th,0.14,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/0-18uf-100v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-934,0.22,μF,63V,5%,WIMA,Radial,th,0.39,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/wima-mks2-0.22uf-63v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-565,220.0,nF,100V,5%,Get It Fast,Radial,th,0.14,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/0-22uf-100v-5-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-6983,220.0,nF,100V,5%,FARATRONIC,Radial,th,0.088,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/0-22uf-100v-5-polyester-film-box-type-capacitor-faratonic-brand.html,Polyester (Mylar) Capacitors
A-984,0.22,μF,100V,5%,JB Capacitors,Radial,th,0.14,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/0-22uf-100v-5-jfj-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
A-3901,220.0,nF,250V,10%,PANASONIC,Radial,th,0.19,https://www.taydaelectronics.com/capacitors/polyester-film-box-type-capacitors/0-22uf-250v-10-polyester-film-box-type-capacitor.html,Polyester (Mylar) Capacitors
