SKU,Farads,Farads Unit,Voltage,Tolerance,Manufacturer,Size,Mounting Style,Price,Link,Category
A-4125,270.0,nF,100V,5%,Various,Radial,th,0.07,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/0-27uf-100v-5-mylar-film-capacitors.html,Film Capacitors
A-4115,330.0,nF,100V,5%,Various,Radial,th,0.09,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/0-33uf-100v-5-mylar-film-capacitors.html,Film Capacitors
A-1156,330.0,nF,100V,5%,JB Capacitors,Radial,th,0.09,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/0-33uf-100v-5-jfa-mylar-film-capacitors.html,Film Capacitors
A-4136,390.0,nF,100V,5%,Various,Radial,th,0.09,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/0-39uf-100v-5-mylar-film-capacitors.html,Film Capacitors
A-4127,470.0,nF,100V,5%,Various,Radial,th,0.07,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/0-47uf-100v-5-mylar-film-capacitors.html,Film Capacitors
A-1173,470.0,nF,100V,5%,JB Capacitors,Radial,th,0.07,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/0-47uf-100v-5-jfa-mylar-film-capacitors.html,Film Capacitors
A-4137,560.0,nF,100V,5%,Various,Radial,th,0.11,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/0-56uf-100v-5-mylar-film-capacitors.html,Film Capacitors
A-4138,680.0,nF,100V,5%,JB Capacitors,Radial,th,0.09,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/0-68uf-100v-5-jfb-mylar-film-capacitors.html,Film Capacitors
A-2561,680.0,nF,100V,5%,TEC,Radial,th,0.16,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/0-68uf-100v-5-mylar-film-capacitors.html.html,Film Capacitors
A-4139,820.0,nF,100V,5%,Various,Radial,th,0.16,https://www.taydaelectronics.com/capacitors/polyester-mylar-film-capacitors/0-82uf-100v-5-mylar-film-capacitors.html,Film Capacitors
