SKU,Size,Mounting Style,Category,Manufacturer,Price,Link
A-3200,TO-92,th,BJTs,FAIRCHILD/ON SEMI,0.06,https://www.taydaelectronics.com/t-transistors/bc32740ta-pnp-transistor-800ma-45v.html
A-3201,TO-92,th,BJTs,FAIRCHILD/ON SEMI,0.20,https://www.taydaelectronics.com/t-transistors/bc33740ta-npn-transistor-800ma-45v.html
A-3211,TO-92,th,MOSFETs,ON SEMICONDUCTOR,0.49,https://www.taydaelectronics.com/t-transistors/j107-jfet-n-channel-transistor-to-92.html
A-3212,TO-92,th,MOSFETs,ON SEMICONDUCTOR,0.70,https://www.taydaelectronics.com/t-transistors/j105-jfet-n-channel-transistor-to-92.html
A-3307,TO-92,th,BJTs,KEC,0.08,https://www.taydaelectronics.com/t-transistors/kta1270y-transistor-pnp-30v-0-5a-to-92-ktc1270y-at.html
A-3648,TO-3P,th,BJTs,KEC,0.80,https://www.taydaelectronics.com/t-transistors/ktd718-transistor-npn-10a-120v.html
A-3650,TO-3P,th,BJTs,KEC,0.70,https://www.taydaelectronics.com/t-transistors/ktb688-transistor-pnp-10a-120v.html
A-3964,SOT-23,smt,MOSFETs,NXP/NEXPERIA/WEEN,0.07,https://www.taydaelectronics.com/t-transistors/bss138bk-bss138bk-215-mosfet-n-channel-1-ohm-60v-0-36a-sot-23.html
A-3967,TO-92,th,MOSFETs,ON SEMICONDUCTOR,0.39,https://www.taydaelectronics.com/t-transistors/j112-jfet-n-channel-transistor-to-92.html
A-3976,TO-3P,th,BJTs,KEC,0.80,https://www.taydaelectronics.com/t-transistors/ktd1047-ktd1047y-transistor-npn-12a-140v.html
A-3977,TO-3P,th,BJTs,KEC,0.80,https://www.taydaelectronics.com/t-transistors/ktb817-ktb817y-transistor-pnp-12a-140v.html
A-3997,TO-225,th,BJTs,ON SEMICONDUCTOR,0.40,https://www.taydaelectronics.com/t-transistors/bd675-bd675g-bipolar-transistor-npn-45v-4a-to-225.html
A-4065,TO-126,th,BJTs,KEC,0.28,https://www.taydaelectronics.com/t-transistors/ktd882-ktd882y-transistor-npn-3a-30v.html
A-4090,SOT-223,smt,MOSFETs,VISHAY,0.59,https://www.taydaelectronics.com/t-transistors/irfl9110-irfl9110trpbf-mosfet-p-channel-1-2-ohm-100v-1-1a-sot-223.html
A-4237,TO-92,th,MOSFETs,ON SEMICONDUCTOR,0.15,https://www.taydaelectronics.com/t-transistors/j111-jfet-n-channel-transistor-to-92.html
A-4312,TO-126,th,BJTs,FAIRCHILD,0.55,https://www.taydaelectronics.com/t-transistors/ksc3503-transistor-npn-300v-0-1a-to-126.html
A-4315,TO-126,th,BJTs,FAIRCHILD,0.39,https://www.taydaelectronics.com/t-transistors/ksa1381-transistor-pnp-300v-0-1a-to-126.html
A-4323,SOT-23,smt,Unknown,HTC,0.10,https://www.taydaelectronics.com/t-transistors/tl431asf-tl431-precision-shunt-regulator-sot-23.html
A-4633,SOT-23,smt,MOSFETs,WEEN (NXP),0.09,https://www.taydaelectronics.com/t-transistors/bss84ak--mosfet-p-channel-4-5-ohm-50v-0-18a-sot-23.html
A-4634,SOT-23,smt,MOSFETs,DIODES INCORPORATED,0.39,https://www.taydaelectronics.com/t-transistors/dmg6601lvt-mosfet-n-and-p-channel-sot-23-6.html
